States,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Alabama,64.9,64.0,62.1,62.3,63.1,63.0,62.1,62.4,65.1,64.2,63.6,63.0,63.6,62.8,63.3,63.4,64.2,64.4,62.9,62.9,62.7,63.8,64.9
Alaska,25.4,27.0,25.0,29.9,26.2,27.8,25.1,28.1,28.4,24.0,28.4,27.3,30.1,29.1,29.3,29.2,26.4,28.1,25.1,26.8,27.4,27.0,24.3
Arizona,59.7,59.3,59.6,59.8,60.6,61.0,61.9,60.5,59.3,60.8,61.7,61.2,61.2,61.9,60.4,61.2,61.1,61.6,60.6,61.1,60.4,60.3,62.1
Arkansas,61.9,61.3,59.9,59.3,60.4,60.5,59.6,59.7,63.1,62.2,60.9,61.2,60.6,60.3,61.0,62.0,62.0,61.8,59.9,59.9,61.2,61.8,63.6
California,58.0,58.1,59.3,57.7,58.0,58.9,59.6,59.1,56.7,58.0,58.8,59.1,58.9,59.4,58.9,58.6,58.6,58.9,58.9,58.8,57.7,57.5,59.5
Colorado,45.6,45.0,45.3,43.8,46.5,45.7,45.8,44.8,46.3,46.6,47.0,46.9,46.1,47.0,45.9,46.8,46.5,46.2,44.9,45.2,46.2,45.4,48.3
Connecticut,51.1,51.0,47.7,48.7,48.9,49.0,48.4,48.7,51.6,50.9,48.5,50.2,50.5,48.2,48.8,49.5,51.1,49.5,49.7,48.8,51.4,50.9,52.5
Delaware,57.2,56.9,53.9,54.8,55.0,55.1,54.0,54.8,57.4,56.5,54.7,56.1,57.2,54.6,55.8,55.7,57.3,56.3,56.3,55.4,56.7,57.4,58.5
Washington (Dulles),57.0,56.7,53.6,54.7,55.1,54.6,53.1,53.7,57.0,55.2,53.8,,55.9,53.7,55.4,55.8,57.0,56.8,55.6,55.7,56.6,56.9,57.9
Washington (Reagan National),60.0,60.2,56.7,57.7,58.2,57.9,56.8,57.9,60.0,58.9,57.0,58.5,59.3,56.4,58.0,58.0,59.1,58.9,59.1,57.3,59.7,59.9,61.5
Florida,72.5,71.8,70.3,70.3,71.6,70.8,69.9,71.1,72.5,71.2,70.6,70.9,71.3,70.9,70.8,70.8,71.4,71.8,70.8,71.2,69.2,71.7,71.9
Georgia,65.7,64.6,62.7,63.2,63.6,63.5,62.7,63.2,65.7,64.5,63.4,63.9,64.4,63.3,64.0,63.8,64.6,64.8,63.5,63.4,63.0,64.7,65.5
Hilo,74.2,74.3,74.7,73.8,74.7,75.6,75.1,75.1,73.0,72.2,73.3,73.4,74.1,74.8,75.3,74.7,73.9,74.2,73.6,73.0,73.7,73.8,73.4
Honolulu,77.6,77.7,77.8,77.1,78.8,79.3,78.5,77.8,77.1,76.9,77.6,78.2,77.8,78.5,78.7,78.3,77.1,78.0,78.3,77.8,77.5,78.3,77.2
Kahului,75.8,75.8,76.3,75.8,76.4,76.9,77.4,76.7,75.1,75.0,75.3,75.7,75.3,76.3,76.4,75.8,76.3,76.0,74.9,74.9,75.8,75.6,75.5
Lihue,75.3,75.4,75.4,75.6,76.2,76.3,75.8,75.5,74.3,75.0,76.2,76.4,75.9,75.9,76.1,76.5,76.1,76.8,75.9,74.5,75.4,76.2,76.0
Idaho,43.5,43.3,45.0,40.9,44.3,43.7,43.2,43.2,44.3,43.6,43.9,44.3,43.0,45.4,44.2,43.6,44.2,44.8,42.5,42.8,43.3,42.4,45.1
Illinois,53.6,53.7,51.9,50.9,52.0,51.6,50.1,51.0,55.2,53.5,52.2,53.4,53.2,51.7,52.6,53.7,54.0,53.7,50.9,51.4,52.9,53.2,55.8
